If you like our site, please consider disabling ads blocker and support wows-numbers.com. Ads = better and faster server, more data from game, more new features in the future.;;;;;;;;;;
Type:ÿÿÿÿAll |ÿÿDestroyerÿÿAircraft CarrierÿÿBattleshipÿÿCruiserÿTier:ÿÿÿ;;;;;;;;;;
;;;;;;;;;;
Nation:ÿÿÿÿAll |ÿÿCommonwealthÿÿnation_europeÿÿItalyÿÿU.S.A.ÿÿPan-AsiaÿÿFranceÿÿU.S.S.R.ÿÿGermanyÿÿU.K.ÿÿJapanÿÿPan-America;;;;;;;;;;
Consumables:ÿÿÿÿSpotting AircraftÿÿCatapult FighterÿÿRepair PartyÿÿSmoke GeneratorÿÿEngine BoostÿÿTorpedo Tubes Reload SystemÿÿHydroacoustic SearchÿÿDefensive Anti-Aircraft FireÿÿSurveillance Radar;;;;;;;;;;
Show only:ÿÿPremium ShipsÿÿRegular Ships;;;;;;;;;;
;;;;;;;;;;
Warship;Tier;Type;Nation;Battles;Win rate;Avg. frags;Avg. damage;Avg. experience;Avg. planes destroyed;Kills / deaths
Roon;9;Cruiser;Germany;3 738 280;50,54%;0,58;50 349;1 387;1,24;1,15
Shchors;7;Cruiser;U.S.S.R.;3 709 351;50,52%;0,71;39 289;1 222;0,71;1,09
Mutsuki (< 01.12.2016);6;Destroyer;Japan;3 695 649;49,55%;0,59;21 993;1 006;0,33;0,95
Y?gumo;9;Destroyer;Japan;3 626 382;49,17%;0,66;35 142;1 317;0,35;1,06
Izumo;9;Battleship;Japan;3 584 497;48,32%;0,6;56 501;1 365;1,44;0,98
South Carolina;3;Battleship;U.S.A.;3 576 508;48,95%;0,67;20 537;549;0,02;1,16
Fubuki;6;Destroyer;Japan;3 526 418;48,57%;0,56;20 782;903;0,41;0,8
Kirov;5;Cruiser;U.S.S.R.;3 449 994;50,48%;0,58;25 289;882;0,9;0,81
New Orleans (<31.05.2018);8;Cruiser;U.S.A.;3 395 305;48,59%;0,49;31 591;1 222;1,42;0,76
Zuiho (<30.01.2019);5;Aircraft Carrier;Japan;3 262 630;51,82%;0,86;42 331;930;8,37;2,53
Emerald;5;Cruiser;U.K.;3 132 101;48,81%;0,54;18 851;793;0,52;0,72
Hatsuharu (< 01.12.2016);7;Destroyer;Japan;3 110 145;49,71%;0,59;22 652;1 169;0,3;0,95
Ibuki;9;Cruiser;Japan;3 106 059;50,07%;0,61;50 459;1 405;1,53;1,18
Independence (<30.01.2019);6;Aircraft Carrier;U.S.A.;3 103 038;48,92%;0,55;31 632;1 050;13,02;2,09
Chapayev;8;Cruiser;U.S.S.R.;3 071 643;50,47%;0,6;41 679;1 360;1,33;0,95
mile Bertin;5;Cruiser;France;3 050 702;52,42%;0,65;26 565;876;1,04;0,94
La GalissonniŠre;6;Cruiser;France;3 012 284;50,53%;0,56;27 997;970;1,17;0,82
King George V;7;Battleship;U.K.;2 879 758;52,45%;0,86;56 712;1 327;1,37;1,64
